날짜,업종,수요량(MJ),기온(°C),조업여부,요일
2023-04-17,철강·금속,4990.1,22.7,조업,월
2023-04-18,철강·금속,4885.0,21.3,조업,화
2023-04-19,철강·금속,4865.3,22.5,조업,수
2023-04-20,철강·금속,4891.8,20.7,조업,목
2023-04-21,철강·금속,5241.9,20.5,조업,금
2023-04-22,철강·금속,1501.1,20.0,휴무,토
2023-04-23,철강·금속,1529.1,19.6,휴무,일
2023-04-24,철강·금속,5044.5,21.6,조업,월
2023-04-25,철강·금속,5028.9,14.9,조업,화
2023-04-26,철강·금속,4844.7,20.9,조업,수
2023-04-27,철강·금속,4741.4,17.4,조업,목
2023-04-28,철강·금속,4615.0,19.3,조업,금
2023-04-29,철강·금속,1432.5,20.4,휴무,토
2023-04-30,철강·금속,1571.5,21.4,휴무,일
2023-05-01,철강·금속,4546.7,27.2,조업,월
2023-05-02,철강·금속,4596.2,25.8,조업,화
2023-05-03,철강·금속,4488.0,30.0,조업,수
2023-05-04,철강·금속,4957.7,27.2,조업,목
2023-05-05,철강·금속,4838.0,26.4,조업,금
2023-05-06,철강·금속,1382.2,27.0,휴무,토
2023-05-07,철강·금속,1353.6,27.1,휴무,일
2023-05-08,철강·금속,5051.4,32.0,조업,월
2023-05-09,철강·금속,4995.7,28.0,조업,화
2023-05-10,철강·금속,4719.6,25.3,조업,수
2023-05-11,철강·금속,4899.3,28.0,조업,목
2023-05-12,철강·금속,4798.4,26.2,조업,금
2023-05-13,철강·금속,1366.1,24.4,휴무,토
2023-05-14,철강·금속,1342.8,25.6,휴무,일
2023-05-15,철강·금속,4348.5,31.2,조업,월
2023-05-16,철강·금속,5141.4,29.2,조업,화
2023-05-17,철강·금속,4848.2,27.6,조업,수
2023-05-18,철강·금속,4778.4,29.9,조업,목
2023-05-19,철강·금속,4863.2,27.4,조업,금
2023-05-20,철강·금속,1411.7,27.4,휴무,토
2023-05-21,철강·금속,1393.7,25.2,휴무,일
2023-05-22,철강·금속,4994.6,25.9,조업,월
2023-05-23,철강·금속,4727.0,30.3,조업,화
2023-05-24,철강·금속,4577.1,26.9,조업,수
2023-05-25,철강·금속,4840.9,25.9,조업,목
2023-05-26,철강·금속,4933.2,29.1,조업,금
2023-05-27,철강·금속,1443.6,25.9,휴무,토
2023-05-28,철강·금속,1523.3,25.3,휴무,일
2023-05-29,철강·금속,4362.1,28.8,조업,월
2023-05-30,철강·금속,4441.7,29.3,조업,화
2023-05-31,철강·금속,4914.1,23.5,조업,수
2023-06-01,철강·금속,4517.8,34.4,조업,목
2023-06-02,철강·금속,4494.6,30.3,조업,금
2023-06-03,철강·금속,1344.2,35.1,휴무,토
2023-06-04,철강·금속,1392.0,34.3,휴무,일
2023-06-05,철강·금속,4564.6,30.6,조업,월
2023-06-06,철강·금속,4677.8,31.4,조업,화
2023-06-07,철강·금속,4577.1,31.0,조업,수
2023-06-08,철강·금속,4659.1,33.9,조업,목
2023-06-09,철강·금속,4431.3,33.0,조업,금
2023-06-10,철강·금속,1330.1,34.8,휴무,토
2023-06-11,철강·금속,1388.7,33.5,휴무,일
2023-06-12,철강·금속,4455.1,32.8,조업,월
2023-06-13,철강·금속,4512.4,32.9,조업,화
2023-06-14,철강·금속,4755.1,29.6,조업,수
2023-06-15,철강·금속,4683.7,32.5,조업,목
2023-06-16,철강·금속,4315.3,30.0,조업,금
2023-06-17,철강·금속,1304.9,37.7,휴무,토
2023-06-18,철강·금속,1384.7,32.4,휴무,일
2023-06-19,철강·금속,4785.5,33.2,조업,월
2023-06-20,철강·금속,4184.1,31.8,조업,화
2023-06-21,철강·금속,4534.5,34.4,조업,수
2023-06-22,철강·금속,4330.1,36.9,조업,목
2023-06-23,철강·금속,4786.9,38.5,조업,금
2023-06-24,철강·금속,1412.1,34.5,휴무,토
2023-06-25,철강·금속,1292.5,29.1,휴무,일
2023-06-26,철강·금속,4531.4,33.7,조업,월
2023-06-27,철강·금속,4883.0,33.1,조업,화
2023-06-28,철강·금속,4331.5,31.1,조업,수
2023-06-29,철강·금속,4718.7,33.9,조업,목
2023-06-30,철강·금속,4297.4,37.1,조업,금
2023-07-01,철강·금속,1261.3,37.7,휴무,토
2023-07-02,철강·금속,1329.1,38.1,휴무,일
2023-07-03,철강·금속,4199.2,37.5,조업,월
2023-07-04,철강·금속,4014.5,34.8,조업,화
2023-07-05,철강·금속,4415.4,32.7,조업,수
2023-07-06,철강·금속,3935.7,39.1,조업,목
2023-07-07,철강·금속,4258.7,35.2,조업,금
2023-07-08,철강·금속,1300.3,32.9,휴무,토
2023-07-09,철강·금속,1277.3,39.6,휴무,일
2023-07-10,철강·금속,4103.3,33.5,조업,월
2023-07-11,철강·금속,4163.1,31.8,조업,화
2023-07-12,철강·금속,4179.9,37.9,조업,수
2023-07-13,철강·금속,3992.7,34.7,조업,목
2023-07-14,철강·금속,4258.6,36.4,조업,금
2023-07-15,철강·금속,1289.5,34.0,휴무,토
2023-07-16,철강·금속,1227.3,34.9,휴무,일
2023-07-17,철강·금속,3840.1,33.1,조업,월
2023-07-18,철강·금속,4257.9,37.3,조업,화
2023-07-19,철강·금속,4138.0,32.9,조업,수
2023-07-20,철강·금속,4269.6,37.4,조업,목
2023-07-21,철강·금속,4591.5,35.4,조업,금
2023-07-22,철강·금속,1309.7,32.7,휴무,토
2023-07-23,철강·금속,1351.8,35.9,휴무,일
2023-07-24,철강·금속,4213.7,33.5,조업,월
2023-07-25,철강·금속,4254.3,37.1,조업,화
2023-07-26,철강·금속,4183.3,33.7,조업,수
2023-07-27,철강·금속,4322.6,38.3,조업,목
2023-07-28,철강·금속,4537.1,35.1,조업,금
2023-07-29,철강·금속,1220.9,37.2,휴무,토
2023-07-30,철강·금속,1264.6,34.1,휴무,일
2023-07-31,철강·금속,4187.8,37.5,조업,월
2023-08-01,철강·금속,4453.1,31.8,조업,화
2023-08-02,철강·금속,4408.5,35.1,조업,수
2023-08-03,철강·금속,4642.8,35.9,조업,목
2023-08-04,철강·금속,4333.9,31.7,조업,금
2023-08-05,철강·금속,1295.4,30.2,휴무,토
2023-08-06,철강·금속,1316.8,34.0,휴무,일
2023-08-07,철강·금속,4548.0,32.4,조업,월
2023-08-08,철강·금속,4594.1,36.5,조업,화
2023-08-09,철강·금속,4481.1,34.5,조업,수
2023-08-10,철강·금속,4585.7,33.1,조업,목
2023-08-11,철강·금속,4362.0,32.6,조업,금
2023-08-12,철강·금속,1448.5,32.7,휴무,토
2023-08-13,철강·금속,1381.5,30.3,휴무,일
2023-08-14,철강·금속,4286.3,31.0,조업,월
2023-08-15,철강·금속,4430.3,35.1,조업,화
2023-08-16,철강·금속,4476.7,31.7,조업,수
2023-08-17,철강·금속,4363.3,33.4,조업,목
2023-08-18,철강·금속,4566.9,33.9,조업,금
2023-08-19,철강·금속,1318.4,31.9,휴무,토
2023-08-20,철강·금속,1308.3,33.0,휴무,일
2023-08-21,철강·금속,4324.4,32.5,조업,월
2023-08-22,철강·금속,4688.9,32.8,조업,화
2023-08-23,철강·금속,4330.3,31.6,조업,수
2023-08-24,철강·금속,4325.0,33.1,조업,목
2023-08-25,철강·금속,4394.4,31.5,조업,금
2023-08-26,철강·금속,1350.8,36.4,휴무,토
2023-08-27,철강·금속,1368.7,30.7,휴무,일
2023-08-28,철강·금속,3980.9,36.2,조업,월
2023-08-29,철강·금속,4516.3,33.8,조업,화
2023-08-30,철강·금속,4399.4,37.3,조업,수
2023-08-31,철강·금속,4491.0,35.9,조업,목
2023-09-01,철강·금속,5269.9,25.3,조업,금
2023-09-02,철강·금속,1519.8,32.4,휴무,토
2023-09-03,철강·금속,1590.1,28.4,휴무,일
2023-09-04,철강·금속,5235.0,28.4,조업,월
2023-09-05,철강·금속,4963.3,23.8,조업,화
2023-09-06,철강·금속,5030.8,24.3,조업,수
2023-09-07,철강·금속,4979.6,26.4,조업,목
2023-09-08,철강·금속,4874.5,26.9,조업,금
2023-09-09,철강·금속,1496.7,29.0,휴무,토
2023-09-10,철강·금속,1539.1,27.7,휴무,일
2023-09-11,철강·금속,5199.8,25.3,조업,월
2023-09-12,철강·금속,5538.0,28.6,조업,화
2023-09-13,철강·금속,4965.7,29.7,조업,수
2023-09-14,철강·금속,5339.9,25.8,조업,목
2023-09-15,철강·금속,4636.1,26.7,조업,금
2023-09-16,철강·금속,1460.7,25.8,휴무,토
2023-09-17,철강·금속,1524.9,28.0,휴무,일
2023-09-18,철강·금속,5258.0,29.2,조업,월
2023-09-19,철강·금속,5135.8,25.1,조업,화
2023-09-20,철강·금속,4921.4,27.4,조업,수
2023-09-21,철강·금속,5010.4,24.2,조업,목
2023-09-22,철강·금속,4855.0,27.8,조업,금
2023-09-23,철강·금속,1422.6,29.1,휴무,토
2023-09-24,철강·금속,1433.2,27.9,휴무,일
2023-09-25,철강·금속,4955.4,28.2,조업,월
2023-09-26,철강·금속,5183.9,26.8,조업,화
2023-09-27,철강·금속,4844.1,28.6,조업,수
2023-09-28,철강·금속,4842.8,26.1,조업,목
2023-09-29,철강·금속,4795.7,26.9,조업,금
2023-09-30,철강·금속,1563.3,27.4,휴무,토
2023-10-01,철강·금속,1613.3,19.6,휴무,일
2023-10-02,철강·금속,5079.0,17.4,조업,월
2023-10-03,철강·금속,5454.7,18.3,조업,화
2023-10-04,철강·금속,5109.5,22.4,조업,수
2023-10-05,철강·금속,5401.8,20.0,조업,목
2023-10-06,철강·금속,5722.0,19.0,조업,금
2023-10-07,철강·금속,1633.0,20.3,휴무,토
2023-10-08,철강·금속,1803.5,18.8,휴무,일
2023-10-09,철강·금속,5191.7,17.4,조업,월
2023-10-10,철강·금속,5382.7,23.9,조업,화
2023-10-11,철강·금속,5525.2,22.6,조업,수
2023-10-12,철강·금속,5340.1,17.9,조업,목
2023-10-13,철강·금속,5489.6,20.8,조업,금
2023-10-14,철강·금속,1661.6,20.2,휴무,토
2023-10-15,철강·금속,1680.6,17.7,휴무,일
2023-10-16,철강·금속,5495.3,18.0,조업,월
2023-10-17,철강·금속,5373.1,18.2,조업,화
2023-10-18,철강·금속,5596.5,20.4,조업,수
2023-10-19,철강·금속,5725.9,19.3,조업,목
2023-10-20,철강·금속,5435.7,15.8,조업,금
2023-10-21,철강·금속,1668.2,16.3,휴무,토
2023-10-22,철강·금속,1670.6,18.2,휴무,일
2023-10-23,철강·금속,5544.7,21.7,조업,월
2023-10-24,철강·금속,5513.7,20.9,조업,화
2023-10-25,철강·금속,5570.8,23.5,조업,수
2023-10-26,철강·금속,5532.8,23.1,조업,목
2023-10-27,철강·금속,5231.7,21.3,조업,금
2023-10-28,철강·금속,1587.1,20.8,휴무,토
2023-10-29,철강·금속,1653.7,19.3,휴무,일
2023-10-30,철강·금속,5266.7,18.6,조업,월
2023-10-31,철강·금속,5439.2,19.7,조업,화
2023-11-01,철강·금속,6115.3,13.0,조업,수
2023-11-02,철강·금속,6004.6,12.6,조업,목
2023-11-03,철강·금속,6088.7,14.5,조업,금
2023-11-04,철강·금속,1803.4,11.3,휴무,토
2023-11-05,철강·금속,1811.5,11.4,휴무,일
2023-11-06,철강·금속,5898.0,12.3,조업,월
2023-11-07,철강·금속,6104.1,11.9,조업,화
2023-11-08,철강·금속,6199.7,14.7,조업,수
2023-11-09,철강·금속,6187.2,11.0,조업,목
2023-11-10,철강·금속,6248.2,9.2,조업,금
2023-11-11,철강·금속,1913.9,11.2,휴무,토
2023-11-12,철강·금속,1828.5,11.6,휴무,일
2023-11-13,철강·금속,5918.8,14.4,조업,월
2023-11-14,철강·금속,6055.4,11.7,조업,화
2023-11-15,철강·금속,6303.9,11.6,조업,수
2023-11-16,철강·금속,6238.7,12.6,조업,목
2023-11-17,철강·금속,6177.6,11.9,조업,금
2023-11-18,철강·금속,1765.7,12.4,휴무,토
2023-11-19,철강·금속,1833.3,10.0,휴무,일
2023-11-20,철강·금속,6007.3,14.8,조업,월
2023-11-21,철강·금속,5824.4,12.8,조업,화
2023-11-22,철강·금속,6003.0,14.0,조업,수
2023-11-23,철강·금속,5784.0,8.2,조업,목
2023-11-24,철강·금속,6373.5,12.2,조업,금
2023-11-25,철강·금속,1811.7,14.1,휴무,토
2023-11-26,철강·금속,1899.3,17.2,휴무,일
2023-11-27,철강·금속,5939.0,14.1,조업,월
2023-11-28,철강·금속,6038.4,13.5,조업,화
2023-11-29,철강·금속,6403.9,11.6,조업,수
2023-11-30,철강·금속,5941.0,12.9,조업,목
2023-12-01,철강·금속,6501.0,4.1,조업,금
2023-12-02,철강·금속,2024.5,7.6,휴무,토
2023-12-03,철강·금속,2083.6,7.9,휴무,일
2023-12-04,철강·금속,7066.8,5.2,조업,월
2023-12-05,철강·금속,6572.2,4.7,조업,화
2023-12-06,철강·금속,6420.7,8.2,조업,수
2023-12-07,철강·금속,6694.5,8.3,조업,목
2023-12-08,철강·금속,6749.4,5.0,조업,금
2023-12-09,철강·금속,1935.3,7.6,휴무,토
2023-12-10,철강·금속,2009.7,6.4,휴무,일
2023-12-11,철강·금속,6759.4,6.8,조업,월
2023-12-12,철강·금속,6694.7,8.5,조업,화
2023-12-13,철강·금속,6575.6,4.6,조업,수
2023-12-14,철강·금속,6473.1,7.8,조업,목
2023-12-15,철강·금속,6889.0,4.2,조업,금
2023-12-16,철강·금속,2131.2,10.1,휴무,토
2023-12-17,철강·금속,2006.1,9.6,휴무,일
2023-12-18,철강·금속,6989.0,8.2,조업,월
2023-12-19,철강·금속,6671.8,8.0,조업,화
2023-12-20,철강·금속,6888.2,6.9,조업,수
2023-12-21,철강·금속,6359.7,6.1,조업,목
2023-12-22,철강·금속,7131.6,6.6,조업,금
2023-12-23,철강·금속,1966.3,8.0,휴무,토
2023-12-24,철강·금속,2168.5,6.8,휴무,일
2023-12-25,철강·금속,6652.7,4.8,조업,월
2023-12-26,철강·금속,7071.5,8.0,조업,화
2023-12-27,철강·금속,6474.3,6.4,조업,수
2023-12-28,철강·금속,6655.6,8.3,조업,목
2023-12-29,철강·금속,6682.8,1.3,조업,금
2023-12-30,철강·금속,2039.5,10.4,휴무,토
2023-12-31,철강·금속,2013.5,8.9,휴무,일
2024-01-01,철강·금속,6824.9,8.6,조업,월
2024-01-02,철강·금속,6885.1,5.1,조업,화
2024-01-03,철강·금속,6819.6,3.9,조업,수
2024-01-04,철강·금속,7140.4,8.7,조업,목
2024-01-05,철강·금속,7105.0,2.9,조업,금
2024-01-06,철강·금속,2092.3,2.7,휴무,토
2024-01-07,철강·금속,2241.5,5.7,휴무,일
2024-01-08,철강·금속,7054.7,4.1,조업,월
2024-01-09,철강·금속,7083.9,2.7,조업,화
2024-01-10,철강·금속,6911.5,7.5,조업,수
2024-01-11,철강·금속,7444.1,1.9,조업,목
2024-01-12,철강·금속,6578.6,6.4,조업,금
2024-01-13,철강·금속,2201.5,6.4,휴무,토
2024-01-14,철강·금속,2064.1,3.0,휴무,일
2024-01-15,철강·금속,6503.7,7.7,조업,월
2024-01-16,철강·금속,6874.8,2.5,조업,화
2024-01-17,철강·금속,6964.4,6.4,조업,수
2024-01-18,철강·금속,6827.1,4.6,조업,목
2024-01-19,철강·금속,7053.8,3.0,조업,금
2024-01-20,철강·금속,1984.8,4.5,휴무,토
2024-01-21,철강·금속,2068.0,6.8,휴무,일
2024-01-22,철강·금속,7296.9,5.7,조업,월
2024-01-23,철강·금속,7351.3,4.4,조업,화
2024-01-24,철강·금속,7144.7,5.0,조업,수
2024-01-25,철강·금속,7016.2,7.3,조업,목
2024-01-26,철강·금속,7082.5,5.5,조업,금
2024-01-27,철강·금속,2062.1,3.8,휴무,토
2024-01-28,철강·금속,2089.7,7.0,휴무,일
2024-01-29,철강·금속,6955.6,6.1,조업,월
2024-01-30,철강·금속,6818.2,5.4,조업,화
2024-01-31,철강·금속,7034.9,3.6,조업,수
2024-02-01,철강·금속,6422.9,7.3,조업,목
2024-02-02,철강·금속,6391.5,9.1,조업,금
2024-02-03,철강·금속,2138.9,5.5,휴무,토
2024-02-04,철강·금속,1887.3,5.6,휴무,일
2024-02-05,철강·금속,6371.5,7.3,조업,월
2024-02-06,철강·금속,6711.2,6.6,조업,화
2024-02-07,철강·금속,6130.8,5.8,조업,수
2024-02-08,철강·금속,6587.3,7.3,조업,목
2024-02-09,철강·금속,6455.8,7.8,조업,금
2024-02-10,철강·금속,2046.5,7.9,휴무,토
2024-02-11,철강·금속,2118.9,7.2,휴무,일
2024-02-12,철강·금속,6647.4,5.9,조업,월
2024-02-13,철강·금속,6672.9,5.9,조업,화
2024-02-14,철강·금속,6822.4,5.7,조업,수
2024-02-15,철강·금속,6536.1,6.3,조업,목
2024-02-16,철강·금속,6240.9,10.5,조업,금
2024-02-17,철강·금속,1795.4,6.9,휴무,토
2024-02-18,철강·금속,1785.6,7.7,휴무,일
2024-02-19,철강·금속,6842.7,10.7,조업,월
2024-02-20,철강·금속,6524.3,7.4,조업,화
2024-02-21,철강·금속,6361.9,8.4,조업,수
2024-02-22,철강·금속,6300.6,6.4,조업,목
2024-02-23,철강·금속,6663.2,3.9,조업,금
2024-02-24,철강·금속,1947.9,5.8,휴무,토
2024-02-25,철강·금속,2046.8,6.4,휴무,일
2024-02-26,철강·금속,6614.0,9.0,조업,월
2024-02-27,철강·금속,6359.9,7.2,조업,화
2024-02-28,철강·금속,6407.3,9.8,조업,수
2024-02-29,철강·금속,6612.0,6.9,조업,목
2024-03-01,철강·금속,5527.4,12.4,조업,금
2024-03-02,철강·금속,1706.1,13.4,휴무,토
2024-03-03,철강·금속,1660.8,16.6,휴무,일
2024-03-04,철강·금속,5751.5,13.6,조업,월
2024-03-05,철강·금속,5606.0,11.6,조업,화
2024-03-06,철강·금속,5315.2,13.3,조업,수
2024-03-07,철강·금속,5564.8,16.8,조업,목
2024-03-08,철강·금속,5929.3,11.4,조업,금
2024-03-09,철강·금속,1673.5,12.2,휴무,토
2024-03-10,철강·금속,1672.9,8.5,휴무,일
2024-03-11,철강·금속,5232.0,12.8,조업,월
2024-03-12,철강·금속,5494.3,9.1,조업,화
2024-03-13,철강·금속,5533.4,12.9,조업,수
2024-03-14,철강·금속,5894.7,13.2,조업,목
2024-03-15,철강·금속,5245.1,9.8,조업,금
2024-03-16,철강·금속,1581.9,12.4,휴무,토
2024-03-17,철강·금속,1637.2,14.1,휴무,일
2024-03-18,철강·금속,5222.4,15.2,조업,월
2024-03-19,철강·금속,5895.2,15.6,조업,화
2024-03-20,철강·금속,5119.9,14.1,조업,수
2024-03-21,철강·금속,5795.3,10.2,조업,목
2024-03-22,철강·금속,5844.2,12.2,조업,금
2024-03-23,철강·금속,1621.6,11.2,휴무,토
2024-03-24,철강·금속,1660.1,12.4,휴무,일
2024-03-25,철강·금속,5262.3,14.3,조업,월
2024-03-26,철강·금속,5686.8,12.0,조업,화
2024-03-27,철강·금속,5066.1,8.8,조업,수
2024-03-28,철강·금속,5346.6,12.2,조업,목
2024-03-29,철강·금속,5465.0,12.6,조업,금
2024-03-30,철강·금속,1668.0,10.0,휴무,토
2024-03-31,철강·금속,1682.7,16.3,휴무,일
2024-04-01,철강·금속,4452.0,22.3,조업,월
2024-04-02,철강·금속,4931.2,18.7,조업,화
2024-04-03,철강·금속,4946.9,19.4,조업,수
2024-04-04,철강·금속,4917.6,18.6,조업,목
2024-04-05,철강·금속,4726.4,20.2,조업,금
2024-04-06,철강·금속,1557.7,23.1,휴무,토
2024-04-07,철강·금속,1440.6,21.9,휴무,일
2024-04-08,철강·금속,5028.6,21.0,조업,월
2024-04-09,철강·금속,4942.8,20.5,조업,화
2024-04-10,철강·금속,4971.6,23.2,조업,수
2024-04-11,철강·금속,5095.2,19.1,조업,목
2024-04-12,철강·금속,5295.1,19.6,조업,금
2024-04-13,철강·금속,1518.7,21.9,휴무,토
2024-04-14,철강·금속,1653.8,16.8,휴무,일
2024-04-15,철강·금속,5270.4,21.7,조업,월
2024-04-16,철강·금속,4827.7,18.4,조업,화
2024-04-17,철강·금속,5011.2,21.5,조업,수
2024-04-18,철강·금속,5011.9,22.2,조업,목
2024-04-19,철강·금속,5102.6,19.1,조업,금
2024-04-20,철강·금속,1552.3,20.8,휴무,토
2024-04-21,철강·금속,1521.3,17.8,휴무,일
2024-04-22,철강·금속,5015.0,21.7,조업,월
2024-04-23,철강·금속,4868.1,23.7,조업,화
2024-04-24,철강·금속,5147.6,18.2,조업,수
2024-04-25,철강·금속,4796.7,17.0,조업,목
2024-04-26,철강·금속,4747.3,17.8,조업,금
2024-04-27,철강·금속,1594.6,18.9,휴무,토
2024-04-28,철강·금속,1468.6,19.6,휴무,일
2024-04-29,철강·금속,4743.9,21.9,조업,월
2024-04-30,철강·금속,5070.2,22.7,조업,화
2024-05-01,철강·금속,4516.3,28.7,조업,수
2024-05-02,철강·금속,4687.9,29.6,조업,목
2024-05-03,철강·금속,4790.9,28.1,조업,금
2024-05-04,철강·금속,1352.0,27.4,휴무,토
2024-05-05,철강·금속,1522.5,27.5,휴무,일
2024-05-06,철강·금속,4632.1,25.4,조업,월
2024-05-07,철강·금속,4557.2,23.2,조업,화
2024-05-08,철강·금속,4497.9,30.4,조업,수
2024-05-09,철강·금속,4995.0,29.9,조업,목
2024-05-10,철강·금속,4876.9,24.9,조업,금
2024-05-11,철강·금속,1426.0,24.8,휴무,토
2024-05-12,철강·금속,1393.7,28.9,휴무,일
2024-05-13,철강·금속,4670.6,26.5,조업,월
2024-05-14,철강·금속,4882.7,26.7,조업,화
2024-05-15,철강·금속,4623.0,25.7,조업,수
2024-05-16,철강·금속,4596.5,27.4,조업,목
2024-05-17,철강·금속,4667.3,24.1,조업,금
2024-05-18,철강·금속,1429.4,27.4,휴무,토
2024-05-19,철강·금속,1399.6,25.0,휴무,일
2024-05-20,철강·금속,4586.2,28.0,조업,월
2024-05-21,철강·금속,4697.7,27.4,조업,화
2024-05-22,철강·금속,4727.3,26.3,조업,수
2024-05-23,철강·금속,4735.8,26.1,조업,목
2024-05-24,철강·금속,4799.9,26.0,조업,금
