날짜,지역,수요량(MJ),기온(°C),요일
2023-07-16,안동,471.6,32.4,일
2023-07-17,안동,468.7,37.4,월
2023-07-18,안동,512.5,31.6,화
2023-07-19,안동,509.7,34.8,수
2023-07-20,안동,465.6,31.8,목
2023-07-21,안동,481.1,35.0,금
2023-07-22,안동,445.5,34.1,토
2023-07-23,안동,428.9,32.9,일
2023-07-24,안동,492.3,35.2,월
2023-07-25,안동,453.0,36.4,화
2023-07-26,안동,510.7,31.9,수
2023-07-27,안동,462.0,35.7,목
2023-07-28,안동,482.8,38.1,금
2023-07-29,안동,433.5,37.4,토
2023-07-30,안동,469.9,39.1,일
2023-07-31,안동,503.3,34.5,월
2023-08-01,안동,641.1,34.3,화
2023-08-02,안동,620.6,31.1,수
2023-08-03,안동,547.2,35.1,목
2023-08-04,안동,538.8,30.6,금
2023-08-05,안동,559.4,32.5,토
2023-08-06,안동,542.0,36.0,일
2023-08-07,안동,558.6,36.2,월
2023-08-08,안동,598.3,29.6,화
2023-08-09,안동,599.0,33.8,수
2023-08-10,안동,597.3,28.9,목
2023-08-11,안동,620.1,30.4,금
2023-08-12,안동,514.6,33.7,토
2023-08-13,안동,511.4,32.0,일
2023-08-14,안동,628.7,32.9,월
2023-08-15,안동,615.1,31.0,화
2023-08-16,안동,576.2,31.9,수
2023-08-17,안동,568.9,32.8,목
2023-08-18,안동,564.1,31.9,금
2023-08-19,안동,541.0,36.9,토
2023-08-20,안동,545.8,31.6,일
2023-08-21,안동,593.4,32.8,월
2023-08-22,안동,622.7,34.2,화
2023-08-23,안동,582.7,31.9,수
2023-08-24,안동,530.9,32.4,목
2023-08-25,안동,641.0,30.0,금
2023-08-26,안동,533.3,36.3,토
2023-08-27,안동,548.4,34.1,일
2023-08-28,안동,633.6,39.1,월
2023-08-29,안동,571.3,32.7,화
2023-08-30,안동,606.1,29.8,수
2023-08-31,안동,557.3,31.5,목
2023-09-01,안동,908.1,26.2,금
2023-09-02,안동,902.1,30.9,토
2023-09-03,안동,927.9,27.5,일
2023-09-04,안동,918.7,27.7,월
2023-09-05,안동,985.9,30.5,화
2023-09-06,안동,950.9,25.4,수
2023-09-07,안동,893.6,25.7,목
2023-09-08,안동,1051.7,29.4,금
2023-09-09,안동,888.3,24.7,토
2023-09-10,안동,843.0,26.2,일
2023-09-11,안동,918.5,26.3,월
2023-09-12,안동,920.1,27.6,화
2023-09-13,안동,957.6,28.0,수
2023-09-14,안동,916.4,27.0,목
2023-09-15,안동,996.3,26.3,금
2023-09-16,안동,821.8,28.5,토
2023-09-17,안동,896.5,27.7,일
2023-09-18,안동,986.1,24.2,월
2023-09-19,안동,987.4,26.2,화
2023-09-20,안동,873.4,26.0,수
2023-09-21,안동,962.3,24.2,목
2023-09-22,안동,916.6,28.0,금
2023-09-23,안동,792.2,28.8,토
2023-09-24,안동,811.7,27.4,일
2023-09-25,안동,962.3,26.2,월
2023-09-26,안동,941.5,25.8,화
2023-09-27,안동,932.3,29.5,수
2023-09-28,안동,905.8,29.2,목
2023-09-29,안동,1029.2,28.6,금
2023-09-30,안동,829.6,22.6,토
2023-10-01,안동,1282.8,21.2,일
2023-10-02,안동,1396.5,20.7,월
2023-10-03,안동,1428.8,20.2,화
2023-10-04,안동,1458.3,22.3,수
2023-10-05,안동,1410.3,20.7,목
2023-10-06,안동,1408.9,19.0,금
2023-10-07,안동,1268.7,20.8,토
2023-10-08,안동,1430.5,20.6,일
2023-10-09,안동,1416.5,21.7,월
2023-10-10,안동,1410.6,22.4,화
2023-10-11,안동,1367.4,15.9,수
2023-10-12,안동,1414.7,16.3,목
2023-10-13,안동,1560.7,20.0,금
2023-10-14,안동,1281.8,20.7,토
2023-10-15,안동,1152.7,21.7,일
2023-10-16,안동,1495.5,20.5,월
2023-10-17,안동,1522.4,17.0,화
2023-10-18,안동,1410.1,20.7,수
2023-10-19,안동,1603.5,21.3,목
2023-10-20,안동,1457.9,20.4,금
2023-10-21,안동,1240.9,19.1,토
2023-10-22,안동,1240.5,21.7,일
2023-10-23,안동,1405.6,20.1,월
2023-10-24,안동,1464.0,21.0,화
2023-10-25,안동,1403.3,22.1,수
2023-10-26,안동,1369.5,19.5,목
2023-10-27,안동,1467.2,19.1,금
2023-10-28,안동,1236.2,21.5,토
2023-10-29,안동,1383.8,21.7,일
2023-10-30,안동,1575.1,20.8,월
2023-10-31,안동,1350.4,18.5,화
2023-11-01,안동,2321.6,8.9,수
2023-11-02,안동,2154.0,13.8,목
2023-11-03,안동,2038.4,13.1,금
2023-11-04,안동,1956.6,17.4,토
2023-11-05,안동,2014.5,12.7,일
2023-11-06,안동,2184.2,13.5,월
2023-11-07,안동,2210.9,10.9,화
2023-11-08,안동,2305.3,16.3,수
2023-11-09,안동,2104.8,15.7,목
2023-11-10,안동,2146.4,10.5,금
2023-11-11,안동,2050.4,12.6,토
2023-11-12,안동,2092.7,9.1,일
2023-11-13,안동,2113.9,12.2,월
2023-11-14,안동,1981.3,10.5,화
2023-11-15,안동,2167.9,14.1,수
2023-11-16,안동,2020.1,9.9,목
2023-11-17,안동,2340.3,11.8,금
2023-11-18,안동,1797.9,12.0,토
2023-11-19,안동,1917.5,12.0,일
2023-11-20,안동,2154.1,7.1,월
2023-11-21,안동,2235.2,12.0,화
2023-11-22,안동,2281.7,16.2,수
2023-11-23,안동,2040.5,12.0,목
2023-11-24,안동,2166.4,17.6,금
2023-11-25,안동,1941.7,12.5,토
2023-11-26,안동,1930.0,12.9,일
2023-11-27,안동,2100.9,11.4,월
2023-11-28,안동,2101.3,12.4,화
2023-11-29,안동,2171.5,11.1,수
2023-11-30,안동,2322.4,12.0,목
2023-12-01,안동,3037.2,1.7,금
2023-12-02,안동,2323.3,9.5,토
2023-12-03,안동,2543.9,6.3,일
2023-12-04,안동,2768.0,4.2,월
2023-12-05,안동,3132.3,4.8,화
2023-12-06,안동,3063.1,8.9,수
2023-12-07,안동,2717.4,8.5,목
2023-12-08,안동,2950.5,6.0,금
2023-12-09,안동,2684.4,4.6,토
2023-12-10,안동,2543.4,6.5,일
2023-12-11,안동,2944.0,8.4,월
2023-12-12,안동,3046.9,6.3,화
2023-12-13,안동,2968.7,4.8,수
2023-12-14,안동,2835.4,8.2,목
2023-12-15,안동,2699.8,7.7,금
2023-12-16,안동,2568.0,8.9,토
2023-12-17,안동,2728.0,6.0,일
2023-12-18,안동,2677.2,5.6,월
2023-12-19,안동,2967.3,3.9,화
2023-12-20,안동,3132.7,4.4,수
2023-12-21,안동,3124.3,2.8,목
2023-12-22,안동,2866.1,7.4,금
2023-12-23,안동,2643.7,5.9,토
2023-12-24,안동,2735.0,6.9,일
2023-12-25,안동,2901.6,7.2,월
2023-12-26,안동,2871.8,6.3,화
2023-12-27,안동,2633.7,7.6,수
2023-12-28,안동,2987.0,4.3,목
2023-12-29,안동,2853.5,7.4,금
2023-12-30,안동,2637.0,7.0,토
2023-12-31,안동,2491.1,5.9,일
2024-01-01,안동,2853.2,5.4,월
2024-01-02,안동,2744.6,5.8,화
2024-01-03,안동,3070.9,7.1,수
2024-01-04,안동,3147.4,5.5,목
2024-01-05,안동,3152.2,8.3,금
2024-01-06,안동,2527.3,1.3,토
2024-01-07,안동,2703.5,3.8,일
2024-01-08,안동,2891.1,6.0,월
2024-01-09,안동,2886.7,5.4,화
2024-01-10,안동,2789.0,3.8,수
2024-01-11,안동,2797.2,3.2,목
2024-01-12,안동,3158.0,3.0,금
2024-01-13,안동,3055.4,3.1,토
2024-01-14,안동,2725.0,6.0,일
2024-01-15,안동,3105.0,3.3,월
2024-01-16,안동,3018.3,3.8,화
2024-01-17,안동,2985.6,10.1,수
2024-01-18,안동,2894.5,7.3,목
2024-01-19,안동,3265.6,4.9,금
2024-01-20,안동,2944.7,3.7,토
2024-01-21,안동,2624.1,6.4,일
2024-01-22,안동,3145.9,6.3,월
2024-01-23,안동,2764.5,6.2,화
2024-01-24,안동,2962.9,3.5,수
2024-01-25,안동,3093.1,4.9,목
2024-01-26,안동,2799.7,5.4,금
2024-01-27,안동,2782.4,5.8,토
2024-01-28,안동,2845.9,6.1,일
2024-01-29,안동,3068.9,6.7,월
2024-01-30,안동,2750.9,4.9,화
2024-01-31,안동,3031.2,5.9,수
2024-02-01,안동,2583.8,7.6,목
2024-02-02,안동,2905.3,4.8,금
2024-02-03,안동,2568.6,6.9,토
2024-02-04,안동,2487.7,7.1,일
2024-02-05,안동,2688.8,8.9,월
2024-02-06,안동,2696.2,7.2,화
2024-02-07,안동,2717.3,6.1,수
2024-02-08,안동,2693.9,7.5,목
2024-02-09,안동,2636.5,9.5,금
2024-02-10,안동,2429.4,6.6,토
2024-02-11,안동,2508.4,9.9,일
2024-02-12,안동,2555.0,9.1,월
2024-02-13,안동,2882.8,7.5,화
2024-02-14,안동,2907.0,7.2,수
2024-02-15,안동,2954.5,6.0,목
2024-02-16,안동,2709.9,11.6,금
2024-02-17,안동,2664.5,6.1,토
2024-02-18,안동,2419.1,10.2,일
2024-02-19,안동,2721.1,6.2,월
2024-02-20,안동,2633.2,4.3,화
2024-02-21,안동,2654.0,5.0,수
2024-02-22,안동,2792.3,6.9,목
2024-02-23,안동,2622.2,10.1,금
2024-02-24,안동,2457.4,9.0,토
2024-02-25,안동,2567.8,6.9,일
2024-02-26,안동,2812.8,4.8,월
2024-02-27,안동,2828.0,7.3,화
2024-02-28,안동,3098.8,7.6,수
2024-02-29,안동,2686.7,5.7,목
2024-03-01,안동,1866.7,11.3,금
2024-03-02,안동,1830.7,11.2,토
2024-03-03,안동,1678.7,15.3,일
2024-03-04,안동,1965.3,10.8,월
2024-03-05,안동,1980.8,11.4,화
2024-03-06,안동,1774.5,12.9,수
2024-03-07,안동,2092.4,15.6,목
2024-03-08,안동,1882.8,11.3,금
2024-03-09,안동,1756.9,13.1,토
2024-03-10,안동,1901.7,13.8,일
2024-03-11,안동,1843.4,12.1,월
2024-03-12,안동,1849.8,9.7,화
2024-03-13,안동,2092.3,12.4,수
2024-03-14,안동,1941.5,11.5,목
2024-03-15,안동,2034.1,12.5,금
2024-03-16,안동,1682.1,17.6,토
2024-03-17,안동,1818.2,11.5,일
2024-03-18,안동,2097.3,13.9,월
2024-03-19,안동,1885.5,13.7,화
2024-03-20,안동,2026.4,13.7,수
2024-03-21,안동,1968.7,14.1,목
2024-03-22,안동,2032.3,14.6,금
2024-03-23,안동,1784.0,15.3,토
2024-03-24,안동,1740.7,12.2,일
2024-03-25,안동,1841.6,14.9,월
2024-03-26,안동,1882.2,13.2,화
2024-03-27,안동,2042.7,12.6,수
2024-03-28,안동,1924.5,12.9,목
2024-03-29,안동,1991.6,9.8,금
2024-03-30,안동,1914.9,13.8,토
2024-03-31,안동,1746.9,11.9,일
2024-04-01,안동,1424.1,20.5,월
2024-04-02,안동,1338.4,19.8,화
2024-04-03,안동,1332.3,21.2,수
2024-04-04,안동,1332.8,19.1,목
2024-04-05,안동,1252.2,22.1,금
2024-04-06,안동,1146.4,20.3,토
2024-04-07,안동,1097.5,22.4,일
2024-04-08,안동,1344.9,18.9,월
2024-04-09,안동,1315.7,23.1,화
2024-04-10,안동,1444.2,18.9,수
2024-04-11,안동,1174.9,17.1,목
2024-04-12,안동,1286.9,20.9,금
2024-04-13,안동,1230.1,18.0,토
2024-04-14,안동,1154.5,20.5,일
2024-04-15,안동,1377.6,17.4,월
2024-04-16,안동,1313.5,21.3,화
2024-04-17,안동,1249.4,23.7,수
2024-04-18,안동,1274.3,16.9,목
2024-04-19,안동,1336.1,19.9,금
2024-04-20,안동,1208.9,19.5,토
2024-04-21,안동,1273.8,17.5,일
2024-04-22,안동,1393.7,19.8,월
2024-04-23,안동,1350.1,20.7,화
2024-04-24,안동,1349.5,21.1,수
2024-04-25,안동,1407.7,21.3,목
2024-04-26,안동,1366.8,20.4,금
2024-04-27,안동,1273.5,19.8,토
2024-04-28,안동,1295.0,18.6,일
2024-04-29,안동,1225.6,19.9,월
2024-04-30,안동,1275.1,20.3,화
2024-05-01,안동,928.7,29.2,수
2024-05-02,안동,869.3,26.6,목
2024-05-03,안동,843.7,26.6,금
2024-05-04,안동,896.8,24.3,토
2024-05-05,안동,882.4,29.1,일
2024-05-06,안동,957.7,25.6,월
2024-05-07,안동,904.4,27.5,화
2024-05-08,안동,1002.1,30.5,수
2024-05-09,안동,961.3,27.1,목
2024-05-10,안동,862.0,27.9,금
2024-05-11,안동,834.5,27.0,토
2024-05-12,안동,851.9,25.5,일
2024-05-13,안동,990.8,31.1,월
2024-05-14,안동,987.5,26.4,화
2024-05-15,안동,1004.4,30.3,수
2024-05-16,안동,928.9,27.6,목
2024-05-17,안동,978.9,28.9,금
2024-05-18,안동,891.4,29.3,토
2024-05-19,안동,840.9,29.6,일
2024-05-20,안동,969.5,30.1,월
2024-05-21,안동,926.9,31.7,화
2024-05-22,안동,969.5,31.0,수
2024-05-23,안동,936.8,26.2,목
2024-05-24,안동,980.4,26.9,금
2024-05-25,안동,839.2,28.5,토
2024-05-26,안동,956.5,27.5,일
2024-05-27,안동,980.9,31.0,월
2024-05-28,안동,965.8,27.6,화
2024-05-29,안동,910.9,28.7,수
2024-05-30,안동,879.9,27.0,목
2024-05-31,안동,991.1,28.3,금
2024-06-01,안동,582.5,32.0,토
2024-06-02,안동,500.5,30.5,일
2024-06-03,안동,631.4,33.4,월
2024-06-04,안동,586.2,36.4,화
2024-06-05,안동,598.8,35.1,수
2024-06-06,안동,626.5,32.6,목
2024-06-07,안동,552.7,34.3,금
2024-06-08,안동,577.3,35.9,토
2024-06-09,안동,550.7,31.7,일
2024-06-10,안동,607.8,34.0,월
2024-06-11,안동,579.9,31.9,화
2024-06-12,안동,635.2,32.9,수
2024-06-13,안동,588.9,34.1,목
2024-06-14,안동,514.5,34.5,금
2024-06-15,안동,493.0,35.3,토
2024-06-16,안동,509.8,32.3,일
2024-06-17,안동,634.8,30.4,월
2024-06-18,안동,610.4,32.1,화
2024-06-19,안동,614.3,32.9,수
2024-06-20,안동,561.5,33.1,목
2024-06-21,안동,585.2,35.0,금
2024-06-22,안동,528.4,29.9,토
2024-06-23,안동,563.0,36.0,일
2024-06-24,안동,589.5,32.3,월
2024-06-25,안동,662.3,32.3,화
2024-06-26,안동,612.9,33.8,수
2024-06-27,안동,607.2,35.1,목
2024-06-28,안동,594.1,32.5,금
2024-06-29,안동,539.0,32.8,토
2024-06-30,안동,541.4,34.4,일
2024-07-01,안동,478.1,36.5,월
2024-07-02,안동,432.0,35.2,화
2024-07-03,안동,488.3,36.8,수
2024-07-04,안동,410.5,37.0,목
2024-07-05,안동,476.6,39.2,금
2024-07-06,안동,409.5,37.2,토
2024-07-07,안동,409.2,36.2,일
2024-07-08,안동,525.9,33.8,월
2024-07-09,안동,485.2,34.6,화
2024-07-10,안동,491.9,36.7,수
2024-07-11,안동,488.8,35.3,목
2024-07-12,안동,478.6,39.8,금
2024-07-13,안동,454.7,35.4,토
2024-07-14,안동,457.6,37.2,일
2024-07-15,안동,452.6,36.3,월
2024-07-16,안동,452.5,38.3,화
2024-07-17,안동,461.9,35.6,수
2024-07-18,안동,487.9,34.9,목
2024-07-19,안동,490.1,35.6,금
2024-07-20,안동,441.8,38.2,토
2024-07-21,안동,452.8,34.5,일
2024-07-22,안동,450.5,37.4,월
2024-07-23,안동,496.8,36.2,화
2024-07-24,안동,513.0,34.4,수
2024-07-25,안동,483.0,34.7,목
2024-07-26,안동,480.4,34.7,금
2024-07-27,안동,400.9,32.8,토
2024-07-28,안동,413.7,38.2,일
2024-07-29,안동,428.3,33.0,월
2024-07-30,안동,448.2,33.7,화
2024-07-31,안동,504.2,38.3,수
2024-08-01,안동,667.6,31.6,목
2024-08-02,안동,590.3,35.0,금
2024-08-03,안동,601.9,28.0,토
2024-08-04,안동,495.6,30.2,일
2024-08-05,안동,673.2,35.0,월
2024-08-06,안동,616.9,35.8,화
2024-08-07,안동,625.6,34.2,수
2024-08-08,안동,608.4,34.5,목
2024-08-09,안동,598.1,33.2,금
2024-08-10,안동,532.4,31.5,토
2024-08-11,안동,537.3,29.6,일
2024-08-12,안동,566.9,31.0,월
2024-08-13,안동,641.8,33.4,화
2024-08-14,안동,552.9,34.8,수
2024-08-15,안동,628.2,31.0,목
2024-08-16,안동,593.3,31.0,금
2024-08-17,안동,513.9,34.1,토
2024-08-18,안동,504.0,33.2,일
2024-08-19,안동,609.6,31.8,월
2024-08-20,안동,613.2,29.8,화
2024-08-21,안동,616.6,33.0,수
2024-08-22,안동,640.9,33.4,목
2024-08-23,안동,587.1,33.2,금
2024-08-24,안동,554.7,33.2,토
2024-08-25,안동,541.1,33.1,일
2024-08-26,안동,580.1,31.6,월
2024-08-27,안동,652.5,30.2,화
2024-08-28,안동,579.2,30.5,수
2024-08-29,안동,626.8,31.6,목
2024-08-30,안동,637.4,32.4,금
2024-08-31,안동,547.5,31.6,토
2024-09-01,안동,956.7,25.8,일
2024-09-02,안동,974.9,25.1,월
2024-09-03,안동,979.9,28.8,화
2024-09-04,안동,953.8,27.1,수
2024-09-05,안동,952.9,27.6,목
2024-09-06,안동,1066.1,29.4,금
2024-09-07,안동,804.8,26.4,토
2024-09-08,안동,975.4,27.3,일
2024-09-09,안동,1038.7,25.9,월
2024-09-10,안동,933.4,30.9,화
2024-09-11,안동,1038.2,28.6,수
2024-09-12,안동,950.2,26.7,목
2024-09-13,안동,911.3,26.3,금
2024-09-14,안동,811.1,26.2,토
2024-09-15,안동,830.7,27.6,일
2024-09-16,안동,885.3,28.0,월
2024-09-17,안동,1000.0,28.2,화
2024-09-18,안동,978.0,23.5,수
2024-09-19,안동,901.9,30.0,목
2024-09-20,안동,980.1,30.8,금
2024-09-21,안동,861.6,26.1,토
2024-09-22,안동,867.3,28.6,일
2024-09-23,안동,915.8,28.6,월
2024-09-24,안동,892.1,27.8,화
2024-09-25,안동,916.6,27.3,수
2024-09-26,안동,1019.3,26.0,목
2024-09-27,안동,989.2,29.7,금
2024-09-28,안동,850.3,25.3,토
2024-09-29,안동,870.1,29.9,일
2024-09-30,안동,978.9,32.1,월
2024-10-01,안동,1417.7,20.4,화
2024-10-02,안동,1429.0,20.3,수
2024-10-03,안동,1508.9,21.4,목
2024-10-04,안동,1344.2,18.4,금
2024-10-05,안동,1328.9,16.3,토
2024-10-06,안동,1156.5,17.8,일
2024-10-07,안동,1619.5,20.8,월
2024-10-08,안동,1500.4,20.0,화
2024-10-09,안동,1432.9,20.2,수
2024-10-10,안동,1419.1,21.8,목
2024-10-11,안동,1463.2,20.5,금
2024-10-12,안동,1360.3,18.7,토
2024-10-13,안동,1247.0,19.7,일
2024-10-14,안동,1375.3,21.1,월
2024-10-15,안동,1439.3,20.1,화
2024-10-16,안동,1474.2,22.2,수
2024-10-17,안동,1498.9,19.9,목
2024-10-18,안동,1480.2,22.8,금
2024-10-19,안동,1211.0,20.0,토
2024-10-20,안동,1276.2,17.9,일
2024-10-21,안동,1426.5,18.8,월
2024-10-22,안동,1478.1,20.1,화
2024-10-23,안동,1475.0,19.9,수
2024-10-24,안동,1297.8,20.1,목
2024-10-25,안동,1429.6,18.1,금
2024-10-26,안동,1334.9,17.6,토
2024-10-27,안동,1375.0,23.1,일
2024-10-28,안동,1547.3,19.6,월
2024-10-29,안동,1415.7,20.3,화
2024-10-30,안동,1418.2,18.8,수
2024-10-31,안동,1452.3,19.2,목
2024-11-01,안동,2160.3,12.8,금
2024-11-02,안동,2059.7,13.4,토
2024-11-03,안동,1799.7,14.4,일
2024-11-04,안동,2260.9,7.4,월
2024-11-05,안동,2135.7,9.8,화
2024-11-06,안동,1965.4,10.2,수
2024-11-07,안동,2242.0,13.6,목
2024-11-08,안동,1880.2,11.3,금
